Tag,count
' Classic Double Room with Breakfast ',72
' Superior King ',72
' Quintuple Room ',72
' Double or Twin Room 2 Adults ',72
' Premier King Room Barlow Wing ',72
' Standard Double or Twin Room with Balcony 1 Adult ',72
' Deluxe Double Room Annex ',72
' Cozy Exchange King ',72
' Aldwych Double Twin Room ',71
' Privilege Room with Double Bed ',71
' Triple Studio ',71
' Twin Room with Free Airport Shuttle Service from 5 00am to 00 30am ',71
' Small Double Room Annex building ',71
' Superior Room with Queensize Bed and Single Sofa Bed 2 Adults 1 Child ',70
' Special Offer Executive Double Twin Room with Access to Nagomi Health ',70
' Queen or Twin Room ',70
' Deluxe Double Room with Garden View ',69
' Queen Room with Eiffel Tower View ',69
' Superior Queen Suite with Sofa ',69
' Privilege Room ',69
' Double or Twin Room with Extra Bed 3 Adults with Free Airport Shuttle Service from 5 00am to 00 30am ',69
' Superior Twin Room with Two Double Beds ',69
' Special Offer Double Twin Room Stay and Park ',68
' Economy Double or Twin Room ',68
' Basic Double ',68
' Superior Double or Twin Room with Balcony ',68
' Superior Room with canal view ',68
' Double Family Guest Room ',67
' Grand Superior King or Twin Room ',67
' Standard Room with queen size bed and double sofa bed ',67
' Luxury Double or Twin Room ',67
' Luxury King Room ',67
' Family Room with King Bed ',67
' Classic Double Room with Shower ',66
' Single Hilton Guestroom ',66
' Classic Twin Room with Garden View ',66
' Standard Studio Suite ',66
' Executive Room 2 adults 2 children ',66
' Double or Twin Room 1 or 2 adults ',66
' Deluxe Twin Room with City View ',66
' Superior Plus Room ',65
' Large King Room ',64
' Delightful Queen Room ',64
' Comfort Quadruple Room ',64
' King Guest Room Wheelchair Accessible ',64
' Deluxe Double or Twin Room with Spa Access ',64
' Standard Queen or Twin Room Lower Ground Floor ',64
' Double or Twin Room with Terrace and Spa Access ',64
' Art Twin Room ',64
' Privilege Double Room 2 Adults 1 child ',63
' Executive King Room with Air Conditioning ',63
' Deluxe Double Room with Bath ',63
' Grand Deluxe King or Twin Room ',63
' Superior Family Room 2 Adults 2 Children ',63
' Twin Hilton Guestroom ',63
' Montcalm Club Double Room ',62
' Executive Double Room with Two Double Beds with Lounge Access ',62
' Luxury Room 1 Queensize Bed Twin bedded Room On Request ',62
' Family Quadruple Room ',62
' Hilton Deluxe King Room ',62
' Double or Twin Room with Extra Bed 3 Adults ',62
' Superior Twin Room with Extra Bed ',61
' One Bedroom Studio Suite ',61
' Executive Junior Suite ',61
' Deluxe King Room with Terrace ',61
' King City View Room ',61
' Royal Room with Ramblas view ',61
' Executive Double Room with Lounge Access ',61
' Superior Double Room with Park View ',61
' Executive Double or Twin Room with Spa Access ',61
' Superior Room with Queen Bed and Sofa ',60
' Superior Room with 1 Queensize Bed and Double Sofa bed ',60
' King Room with River View ',60
' Superior Queen Room with Courtyard Garden or City View ',60
' Condal Double or Twin Room ',60
' Superior Room with Two Double Beds and Balcony ',59
' Standard Room with Spa Access ',59
' Deluxe Double Room with Four Poster Bed ',59
' Two Adjacent Rooms 6 persons ',59
' Royal Mews View King Room ',59
' Standard Double or Twin Room Tea Time Wine Tasting Included ',59
' Queen Hilton Deluxe ',59
' Club Room with Club Lounge Access Free Wifi ',59
' King Hilton Plaza Room ',59
' Junior King Suite ',58
' Standard Double Room with Tea Time Included ',58
' Double Room Single Use ',58
' Twin Deluxe Guest Room ',58
' Double Room 1 Adult with Free Airport Shuttle Service from 5 00am to 00 30am ',58
' Double Room XL ',58
' Superior Double Room with Garden View ',57
' Large Penthouse Suite with Terrace and City View ',57
' Small Twin Room ',57
' Deluxe King Room with Club Lounge Access ',56
[' Travelers with friends ',56
' Superior Studio Apartment ',56
' Superior Suite with 1 Double Bed and 2 Single Beds ',56
' Classic Family Room ',56
' Executive Deluxe Studio Suite ',56
' Premier Deluxe Double Room ',56
' Deluxe Double or Twin Room with Mountain View ',56
' Comfort Double or Twin Room with Extra Bed ',56
' King Hilton Waterfront ',56
' Queen Room with Sofa Bed Non Smoking ',56
' Superior Triple Room 3 Adults ',56
' Deluxe Double with Winter Garden View ',55
' Super Deluxe Double Room ',55
' Classic Studio ',55
' Spare Room Double ',55
' Kings Junior Suite ',55
' Large Triple Room ',55
' Small Single Room with Balcony ',55
' Luxury Junior Suite ',54
' Superior Room Swimming Pool Hammam Access upon reservation ',54
' Junior Suite with Terrace ',54
' Park King ',54
' Queen Room with Two Queen Beds 4 Adults ',54
' Superior Deluxe Room with Spa Bath ',54
' King or Twin Room with River View ',54
' Deluxe Contemporary Room ',54
' Superior Double Room Loge Sup rieure ',53
' Champagne Shopping package Double Room ',53
' Executive Double Room with Spa Access ',53
' Deluxe Twin Room Balcony with Eiffel Tower View ',53
' Twin Room with Extra Bed ',53
' Double Room City ',53
' Suite Room ',53
' Montcalm Club Room ',53
' Large Single Room ',53
' Panorama Double Room ',53
' Royal Suite with Canal View ',53
' Interior Facing Double Room With Natural Light ',53
' Superior Double or Twin Room with Landmark View ',53
' Classic Double Room with free pool and hammam access ',52
' Penthouse Suite ',52
' Executive Premium Room with a Queen Bed ',52
' Executive King or Twin Room with Lounge Access ',52
' Superior Double Room with Free Access to Steam Bath ',52
' Deluxe Queen Room with View ',52
' Family Room Two Connecting Rooms ',52
' Superior Junior Suite ',51
' Superior Queen Room with Sofa Bed ',51
' Luxury Double Room Mezzanine ',51
' Single Room Lower Ground Floor ',51
' River Double Suite ',51
' Superior Double or Twin Room with Terrace Spa acces ',51
' Superior Deluxe Double Room with Canal View ',51
' Triple Room with Spa Bath ',51
' Weekend Offer Standard Studio ',51
' Iconic King Room With City View ',50
' Club SuperKing Room ',50
' Standard Room Sopi ',50
' Eiffel Tower View Twin Room ',50
' Double Room Baronne ',50
' Double Room Insolite ',50
' Master Bedroom Double ',50
' Classic Cosy Room ',50
' Double or Twin Room Allergy Free ',50
' Premium Double or Twin Room XL ',50
' Comfort Double Room with Extra Bed ',50
' Exclusive Double or Twin Room ',50
' Romantic Special Offer ',50
' Family Room with Balcony ',50
' Hypoallergenic Double or Twin Room ',50
' Superior King Room with River View ',49
' King Grand Deluxe Room ',49
' Double Room with Small Double Bed ',49
' Classic Suite ',49
' Privilege Super King or Twin Room ',49
' Twin Room 1 2 people ',49
' Deluxe Double Room with City View and Balcony ',49
' Observatory King ',49
' Superior Quadruple Room With Balcony ',49
' Family Studio ',48
' Double Superior Room ',48
' Premium Triple Room ',48
' Level Room with Executive Lounge Access ',48
' Double or Twin Room 1 Adult ',48
' Business Apartment with Public Transport Ticket ',48
' Luxury Suite Patio ',48
' Premier Double or Twin Room ',47
' Loft ',47
' Privilege Room with 1 Double Bed ',47
' Eiffel Tower Junior Suite ',47
' Standard Double Room with Sofa Bed 3 Adults ',47
' Chambers Junior Suite with Club Lounge Access ',47
' Superior Guest room 1 King or 2 Twin Single Bed s ',47
' Accessible Twin Room ',47
' Comfort Double or Twin Room with Balcony ',47
' Suite with Spa Access 2 Adults ',47
' Executive Double or Twin Room with No view ',47
' Interior Double or Twin Room ',47
' Standard Double or Twin Room with Extra Bed 3 Adults ',47
' Deluxe Club Double Room ',47
' Luxury Room with Spa Access ',46
' Boudoir Double Room ',46
' Emperor Suite ',46
' Classic Double Room La Parisienne ',46
' Standard King Room Non Smoking ',46
' King Grand Premier Room ',46
' Quality Double or Twin Room with Extra Bed ',46
' Standard Room with 1 Kingsize Bed ',46
' Superior Suite 2 Adults 2 Children ',45
' Twin Guestroom ',45
' Deluxe Double Room with Spa Access ',45
' Suite 3 Adults ',45
' Premium Deluxe Double Room ',45
' Premier Shard King Room ',45
' King Room with Courtyard View ',45
' Superior Double Room with Terrace and Private Pool ',45
' Single Hilton Guest Room ',45
' Superior Twin Room with City View ',45
' Tiny Single Room ',45
' Special Offer Deluxe Room ',45
' Double or Twin Room with Bath ',44
' King Suite with Lounge Access ',44
' Club Eiffel Tower King Room ',44
' Privilege Room with 1 Kingsize Bed ',44
' Twin Executive Room with Lounge Access ',44
' Twin Room with Cathedral View ',44
' Superior Double or Twin Room with Balcony 1 Adult ',44
